Id,Type,Price,Square,Building,Address,Latitude,Longitude,Link
140,супермаркет,340000.0,136.0,жилой дом,"Санкт-Петербург, Вилькицкий бульвар, 7",59.9385258,30.1962098,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_136_m_1954582880
142,супермаркет,69000.0,46.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 2",59.9413557,30.1944928,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_46_m_2782987862
143,супермаркет,50000.0,33.0,жилой дом,"Санкт-Петербург, бульвар Александра Грина, 3",59.9363598,30.2020061,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_33_m_2764869452
144,супермаркет,170000.0,180.0,жилой дом,"Санкт-Петербург, 3 линия , 10",59.9045719,29.7167622,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_180_m_2444763455
145,супермаркет,160000.0,95.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 6",59.9416713,30.190683999954462,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_95_m_2440387090
146,супермаркет,35700.0,31.5,жилой дом,"Санкт-Петербург, Железноводская ул., 68к2",59.9489665,30.2347027,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_31.5_m_2652606173
147,супермаркет,240000.0,150.0,жилой дом,"Санкт-Петербург, 9 линия , 58",59.906315,29.7141766,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_150_m_2905078238
148,супермаркет,114480.0,143.1,жилой дом,"Санкт-Петербург, наб. реки Смоленки, 3к1",59.948459,30.2643914,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_143.1_m_2418219017
149,супермаркет,330000.0,114.0,жилой дом,"Санкт-Петербург, наб. Макарова, 28",59.9484254,30.2810005,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_114_m_2269729412
151,супермаркет,180700.0,180.7,жилой дом,"Санкт-Петербург, проспект КИМа, 28Б",59.9495565,30.2483327,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/pomescheniya_v_rayone_metro_primorskaya_180.7_m_2947787090
152,супермаркет,180000.0,60.0,жилой дом,"Санкт-Петербург, ул. Одоевского, 27",59.9479322,30.23673,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_60_m_2163559675
153,магазин,799999.0,570.0,отдельное здание,"Санкт-Петербург, ул. Нахимова, 9",59.87272325,29.97448135,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_570_m_2847573350
154,супермаркет,27000.0,6.0,жилой дом,"Санкт-Петербург, 6 линия , 27",59.9079611,29.7053011,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_6_m_2209887735
155,супермаркет,100000.0,93.0,жилой дом,"Санкт-Петербург, Волжский пер., 9",59.9392716,30.2847272,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/arenda_kommercheskogo_pomescheniya_93_kv.m_2723553397
158,супермаркет,29900.0,20.0,жилой дом,"Санкт-Петербург, 9 линия , 56",59.906315,29.7141766,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/kabinet_byuti_ili_dr._uslugi_20m_s_vodoy.parkovka_2977367761
159,супермаркет,309400.0,88.4,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_88.4_m_2282252862
160,супермаркет,180000.0,110.0,жилой дом,"Санкт-Петербург, 16 линия , 35",59.9388117,30.26734681703573,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_110_m_2287439990
161,супермаркет,222000.0,149.0,жилой дом,"Санкт-Петербург, Вилькицкий бульвар, 7",59.9385258,30.1962098,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/fasadnoe_pomeschenie_na_trafike_v_zhk_149_m_2908446133
162,супермаркет,80000.0,80.0,жилой дом,"Санкт-Петербург, 9 линия , 58",59.906315,29.7141766,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_80_m_3060456399
